2003-10-27
Tony Hawk
Bam Margera
Bob Burnquist
Kareem Campbell
Rune Glifberg
Bucky Lasek
Chad Muska
Andrew Reynolds
Paul Rodriguez
Geoff Rowley
Eric Koston
Elissa Steamer
Jamie Thomas
Arto Saari
Steve Caballero
Rodney Mullen
Mike Vallely
Gene Simmons
Iron Man
T.H.U.D.
Eric Sparrow
Stacy Peralta
DJ Qbert
Paul Stanley
Peter Criss
Ace Frehley
