2017-09-29
Andrew Robertson
Koke Resurrección
Pepe Ferreira
Hans Vanaken
Santiago Arias
Shkodran Mustafi
Matthias Ginter
Carlos Villanueva
Mario Balotelli
Gastón Pereiro
Kevin Strootman
Nacho Fernández
Alexandre Lacazette
Toby Alderweireld
James Maddison
Wissam Ben Yedder
Hakim Ziyech
Alessandro Florenzi
Yannick Carrasco
Raúl Albiol
Hannes Þór Halldórsson
Łukasz Teodorczyk
Manuel Lanzini
İlkay Gündoğan
Thomas Partey
Juanfran Belén
Ricardo Rodríguez
Will Grigg
Pizzi Fernandes
Sokratis Papastathopoulos
Lee Dong Gook
Laurent Koscielny
Giuliano de Paula
Henrikh Mkhitaryan
Marcos Alonso
Essam El Hadary
Sami Khedira
Omar Al Soma
Mario Gómez
Domenico Criscito
André-Pierre Gignac
Vincent Aboubakar
Nicolas Nkoulou
Dante Santos
Marco Asensio
Carvajal Ramos
Salem Al Dawsari
Shinji Kagawa
Giovani Lo Celso
Yu Kobayashi
Julian Draxler
Viktor Fischer
Roman Bürki
Morata Martín
Aaron Ramsey
Rune Almenning Jarstein
Giacomo Bonaventura
Carlos Vela
Diogo Jota
Gianluigi Donnarumma
Léo Matos
Onyinye Ndidi
Raffael de Araújo
Abdullah Ateef
Bobô Da Silva
Barry Douglas
Ander Herrera
Jesús Gallardo
Manuel Fernandes
Valère Germain
Pablo Sarabia
Bernd Leno
Ricardo Pereira
Danijel Subašić
Adam Lallana
Virgil van Dijk
Mattia Perin
Sead Kolašinac
Erik Lamela
Éver Banega
Bradley Dack
Yasuhito Endo
James Milner
Danilo Pereira
Samu Castillejo
Matěj Vydra
Idrissa Gueye
Umut Bozok
Joel Matip
Javier Pastore
William Carvalho
Andrea Belotti
Kévin Gameiro
Matz Sels
Andrea Barzagli
Mansour Al Harbi
Yannick Bolasie
Piotr Zieliński
Lee Jae Sung
Daniel Wass
Bobby Reid
Carlos Izquierdoz
Charlie Mulgrew
Ignacio Piatti
Sandro Wagner
Gabriel Jesus
Martin Braithwaite
Dejan Lovren
Marvelous Nakamba
Mario Gaspar
Max Kruse
Sebastián Coates
Nathan Aké
Fabio Quagliarella
Marcelo Brozović
Dimitri Liénard
Cédric Bakambu
Bernardo Silva
João Moutinho
Georginio Wijnaldum
Leighton Baines
Christian Benteke
Carlos Bacca
Stephan Lichtsteiner
Raúl García
Sergio Rico
Stevan Jovetić
Léo Dubois
Steven Berghuis
Ralf Fährmann
Bertrand Traoré
André Silva
Jonathan Tah
Valeri Qazaishvili
Mathias Jensen
Jack Marriott
Stefan Savić
Mohamed Elyounoussi
Carlos López
Jozy Altidore
Anders Christiansen
Hatem Ben Arfa
Callum Wilson
Šime Vrsaljko
